country,prov_name,iso_alpha3,data_year,total_precipitation,spei_index,drought_status,year,spei_Eastern Cape,spei_Free State,spei_Gauteng,spei_KwaZulu-Natal,spei_Limpopo,spei_Mpumalanga,spei_North West,spei_Northern Cape,spei_Western Cape,Total precipitation_Eastern Cape,Total precipitation_Free State,Total precipitation_Gauteng,Total precipitation_KwaZulu-Natal,Total precipitation_Limpopo,Total precipitation_Mpumalanga,Total precipitation_North West,Total precipitation_Northern Cape,Total precipitation_Western Cape,gwsa_Eastern Cape,gwsa_Free State,gwsa_Gauteng,gwsa_KwaZulu-Natal,gwsa_Limpopo,gwsa_Mpumalanga,gwsa_North West,gwsa_Northern Cape,gwsa_Western Cape,spei_status_Eastern Cape,spei_status_Free State,spei_status_Gauteng,spei_status_KwaZulu-Natal,spei_status_Limpopo,spei_status_Mpumalanga,spei_status_North West,spei_status_Northern Cape,spei_status_Western Cape
South Africa,Eastern Cape,ZAR,01/06/19,6.051971925,-0.14876176,moderately wet,01/04/02,-1.1199709,-1.2413764,-1.1438488,-1.3818822,-1.4522524,-1.1154963,-1.1871722,-0.8544206,-1.1594119,54.6063683,34.5016871,28.132454,64.2969831,20.1759358,38.9348208,21.785034,19.1097002,31.2668166,-1.8834705,-1.6557815,1.7579045,0.48792526,5.3620534,2.7295651,-0.7234128,-0.4670881,0.89775634,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Moderate drought
South Africa,Eastern Cape,ZAR,01/07/19,7.693376155,-1.2182086,moderately wet,01/05/02,-0.3666047,-0.6101637,-1.08518,-1.0956525,-1.4152898,-1.2704887,-0.7692339,-0.2152288,-0.1263386,37.6101282,51.6214091,27.9376695,19.8918511,5.81574225,9.05245977,34.3875642,27.4713546,51.8951716,-0.6570745,-1.7030785,1.9338744,1.3029914,4.5697875,2.8554947,-0.5824859,-1.0298243,0.83243006,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/08/19,6.70594821,-2.1339202,moderately wet,01/06/02,0.16462155,0.21042854,-0.0886348,-0.2167817,-0.516652,-1.0144,-0.1163172,0.14476497,0.2098877,22.293762,17.5760195,27.3732796,31.1624362,17.4003314,15.4553139,15.3308163,15.0472559,29.621598,1.176744,-4.6345754,-2.3318987,2.2870069,1.1507442,0.86769575,-4.290549,-1.5499454,0.25179103,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/09/19,25.06583205,-1.8710113,moderately wet,01/07/02,1.2523032,1.1371152,0.93817925,1.4307796,-0.3633825,-0.3255625,1.0287554,1.1120089,0.9690778,38.9063252,5.76018803,0.52379717,104.904531,9.13945896,18.2180319,0.75662913,5.95352494,49.4834276,0.41279718,-3.4352355,-1.5005326,0.7870574,0.61205524,0.9418746,-3.328352,-0.3788578,-0.3936654,Moderately wet,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Moderately wet,Moderately wet,Near normal
South Africa,Eastern Cape,ZAR,01/10/19,21.48753867,-2.379693,moderately wet,01/08/02,1.8391204,1.7382209,1.0183742,1.7156641,-0.6714956,-0.1157728,1.2995297,1.1138755,0.73771393,89.595024,98.9357471,33.1446832,63.7441587,8.96051759,23.471838,63.7985066,28.6871812,44.1611997,-3.6271868,1.709521,8.658761,0.34333423,9.703578,10.01081,1.4486238,-0.7707676,-2.9587028,Very wet,Very wet,Moderately wet,Very wet,Near normal,Near normal,Moderately wet,Moderately wet,Near normal
South Africa,Eastern Cape,ZAR,01/11/19,37.17094288,-2.5260303,moderately wet,01/09/02,1.9192847,1.3655635,0.26996335,1.3437357,-0.7268169,-0.0972032,0.9301117,0.5762495,0.80996054,73.1953391,32.3290378,14.3861471,47.7052752,19.5120358,28.8453928,8.63172218,6.72745834,34.9415252,-7.6971025,-5.1721783,0.9507348,-2.878241,2.7270138,3.5228317,-2.2214007,-0.4732547,-1.3572781,Very wet,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/12/19,69.84951298,-2.099648,moderately wet,01/10/02,1.1006389,0.63862914,-0.1478257,-0.3164245,-0.4300943,-0.1904492,0.41297033,-0.1570946,0.07402118,23.9660036,35.7048615,50.7831222,67.392625,33.4620632,58.2500075,41.5165451,7.80215478,14.6850381,-6.3995233,-2.8529801,2.1697972,-1.1897174,3.1021197,4.147757,-0.6740816,0.9542713,0.26445335,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/01/20,116.8120753,-0.91424626,moderately wet,01/11/02,-0.4769623,-1.1349714,-1.6224251,-1.5038403,-1.2616869,-1.3550575,-0.7490267,-0.6228629,-0.3288135,44.2815743,29.0355431,31.0805272,64.1627943,19.6151143,47.873567,21.6741996,18.209878,15.1214351,-3.6713705,-1.4599147,2.7103293,-0.1566188,4.751953,4.2229652,0.04920879,0.35056615,0.56583995,Near normal,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/02/20,138.5111136,0.20412557,moderately wet,01/12/02,-0.9082717,-0.3913426,-1.2652583,-1.3853165,-1.4797412,-1.3110023,-0.3167327,0.03444114,0.05411331,100.01363,155.562396,159.5924,126.476702,54.761869,136.890216,96.3902234,54.2661989,47.4184502,-0.499139,-1.8665987,2.3111494,0.7677263,5.4499054,4.855677,-1.5888902,-1.9453294,0.21372253,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/03/20,94.33106532,0.57489157,moderately wet,01/01/03,-0.632943,-0.3758523,-1.2940165,-1.3859346,-1.5761405,-1.6869425,-0.4844446,-0.2478507,0.18455434,60.5710102,89.0747374,119.152405,122.571766,65.2419487,120.167161,66.2847525,11.5290495,16.3488631,-0.7232159,-4.9224257,-1.9916601,-3.3528662,2.7046347,0.3388483,-4.333814,-1.7512128,-0.07537,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Severe drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/04/20,75.71577825,0.45259967,moderately wet,01/02/03,-0.6535708,-0.0630443,-0.4214808,-1.0727062,-1.256566,-1.1924788,-0.0991146,-0.5277207,-0.302075,79.1359942,92.362261,106.801839,125.114611,66.9926946,104.817372,85.5864945,38.5541474,15.5890208,0.41954485,-4.01523,-0.6201876,0.43108478,5.486973,3.6502228,-4.202883,-2.2891219,0.5087981,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/05/20,5.172528237,0.028899845,moderately wet,01/03/03,-0.4965713,-0.5134098,-0.8284383,-1.4839368,-1.3230493,-1.6986694,-0.6376733,-0.8787344,0.58383125,97.3667201,84.0727699,32.4121072,66.5242591,41.4029276,45.127156,36.2465935,23.5203163,82.0908496,0.24448337,-2.6861548,1.1834838,3.2397573,7.278998,6.611294,-1.3299717,-0.8261417,-0.1371018,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/06/20,2.5752556,-0.39745218,near normal,01/04/03,-0.4305826,-0.6991583,-1.3568759,-1.3118806,-1.5477796,-1.7991514,-1.0179924,-1.045505,0.14971308,47.5450671,23.2153468,10.4549376,42.2162955,5.97306913,16.6871797,14.9796972,18.4389206,21.1434015,-1.9286958,-2.729114,2.9898458,5.08342,7.34267,7.813218,-0.1883201,-1.0528598,-2.106315,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal
