year,spei_Eastern Cape,spei_Free State,spei_Gauteng,spei_KwaZulu-Natal,spei_Limpopo,spei_Mpumalanga,spei_North West,spei_Northern Cape,spei_Western Cape,Total precipitation_Eastern Cape,Total precipitation_Free State,Total precipitation_Gauteng,Total precipitation_KwaZulu-Natal,Total precipitation_Limpopo,Total precipitation_Mpumalanga,Total precipitation_North West,Total precipitation_Northern Cape,Total precipitation_Western Cape,gwsa_Eastern Cape,gwsa_Free State,gwsa_Gauteng,gwsa_KwaZulu-Natal,gwsa_Limpopo,gwsa_Mpumalanga,gwsa_North West,gwsa_Northern Cape,gwsa_Western Cape,spei_status_Eastern Cape,spei_status_Free State,spei_status_Gauteng,spei_status_KwaZulu-Natal,spei_status_Limpopo,spei_status_Mpumalanga,spei_status_North West,spei_status_Northern Cape,spei_status_Western Cape
01/04/02,-1.1199709,-1.2413764,-1.1438488,-1.3818822,-1.4522524,-1.1154963,-1.1871722,-0.8544206,-1.1594119,54.60636831,34.50168705,28.13245403,64.29698313,20.17593581,38.93482078,21.78503399,19.10970022,31.26681657,-1.8834705,-1.6557815,1.7579045,0.48792526,5.3620534,2.7295651,-0.7234128,-0.46708807,0.89775634,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Moderate drought
01/05/02,-0.36660466,-0.6101637,-1.08518,-1.0956525,-1.4152898,-1.2704887,-0.7692339,-0.21522875,-0.12633857,37.61012823,51.62140913,27.9376695,19.89185107,5.815742247,9.05245977,34.38756418,27.47135463,51.89517164,-0.6570745,-1.7030785,1.9338744,1.3029914,4.5697875,2.8554947,-0.5824859,-1.0298243,0.83243006,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
01/06/02,0.16462155,0.21042854,-0.08863481,-0.21678168,-0.516652,-1.0144,-0.116317175,0.14476497,0.2098877,22.29376203,17.57601951,27.37327956,31.16243623,17.40033141,15.4553139,15.33081632,15.04725594,29.62159801,1.176744,-4.6345754,-2.3318987,2.2870069,1.1507442,0.86769575,-4.290549,-1.5499454,0.25179103,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal
01/07/02,1.2523032,1.1371152,0.93817925,1.4307796,-0.36338252,-0.32556245,1.0287554,1.1120089,0.9690778,38.90632517,5.760188032,0.523797167,104.9045312,9.139458955,18.21803194,0.75662913,5.953524935,49.48342761,0.41279718,-3.4352355,-1.5005326,0.7870574,0.61205524,0.9418746,-3.328352,-0.37885782,-0.39366537,Moderately wet,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Moderately wet,Moderately wet,Near normal
01/08/02,1.8391204,1.7382209,1.0183742,1.7156641,-0.6714956,-0.11577279,1.2995297,1.1138755,0.73771393,89.59502396,98.93574714,33.14468315,63.74415868,8.960517586,23.47183798,63.79850661,28.68718115,44.16119969,-3.6271868,1.709521,8.658761,0.34333423,9.703578,10.01081,1.4486238,-0.7707676,-2.9587028,Very wet,Very wet,Moderately wet,Very wet,Near normal,Near normal,Moderately wet,Moderately wet,Near normal
01/09/02,1.9192847,1.3655635,0.26996335,1.3437357,-0.7268169,-0.097203165,0.9301117,0.5762495,0.80996054,73.19533908,32.32903778,14.38614714,47.70527521,19.51203584,28.84539275,8.631722178,6.727458344,34.94152521,-7.6971025,-5.1721783,0.9507348,-2.878241,2.7270138,3.5228317,-2.2214007,-0.47325465,-1.3572781,Very wet,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal
01/10/02,1.1006389,0.63862914,-0.14782572,-0.3164245,-0.43009427,-0.19044918,0.41297033,-0.15709457,0.074021176,23.96600364,35.70486153,50.78312221,67.39262499,33.4620632,58.25000752,41.51654511,7.802154784,14.68503808,-6.3995233,-2.8529801,2.1697972,-1.1897174,3.1021197,4.147757,-0.67408156,0.9542713,0.26445335,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
01/11/02,-0.47696233,-1.1349714,-1.6224251,-1.5038403,-1.2616869,-1.3550575,-0.7490267,-0.6228629,-0.32881352,44.2815743,29.03554312,31.08052723,64.16279432,19.61511426,47.87356696,21.67419962,18.20987804,15.12143513,-3.6713705,-1.4599147,2.7103293,-0.15661882,4.751953,4.2229652,0.049208786,0.35056615,0.56583995,Near normal,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
01/12/02,-0.9082717,-0.39134258,-1.2652583,-1.3853165,-1.4797412,-1.3110023,-0.31673273,0.034441143,0.054113306,100.0136297,155.562396,159.5923996,126.4767017,54.76186898,136.8902156,96.39022336,54.26619889,47.41845015,-0.49913895,-1.8665987,2.3111494,0.7677263,5.4499054,4.855677,-1.5888902,-1.9453294,0.21372253,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
01/01/03,-0.63294303,-0.37585232,-1.2940165,-1.3859346,-1.5761405,-1.6869425,-0.4844446,-0.24785072,0.18455434,60.57101015,89.07473744,119.1524051,122.5717662,65.24194871,120.1671605,66.28475251,11.52904949,16.34886309,-0.72321594,-4.9224257,-1.9916601,-3.3528662,2.7046347,0.3388483,-4.333814,-1.7512128,-0.07536998,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Severe drought,Near normal,Near normal,Near normal
