country,prov_name,iso_alpha3,year,total_precipitation,spei_index,drought_status
South Africa,Eastern Cape,ZAF,2019,6.05,-0.15, near normal
South Africa,Eastern Cape,ZAF,2019,7.69,-1.22,moderate
South Africa,Eastern Cape,ZAF,2019,6.71,-2.13,severe
South Africa,Eastern Cape,ZAF,2019,25.07,-1.87,moderate
South Africa,Eastern Cape,ZAF,2019,21.49,-2.38,severe
South Africa,Eastern Cape,ZAF,2019,37.17,-2.53,severe
South Africa,Eastern Cape,ZAF,2019,69.85,-2.1,severe
South Africa,Eastern Cape,ZAF,2020,116.81,-0.91,near normal
South Africa,Eastern Cape,ZAF,2020,138.51,0.2,near normal
South Africa,Eastern Cape,ZAF,2020,94.33,0.57,near normal
South Africa,Eastern Cape,ZAF,2020,75.72,0.45,near normal
South Africa,Eastern Cape,ZAF,2020,5.17,0.03,near normal
South Africa,Eastern Cape,ZAF,2020,2.58,-0.4,near normal
South Africa,Eastern Cape,ZAF,2020,3.95,-1.36,moderate
South Africa,Eastern Cape,ZAF,2020,12.81,-0.81,near normal
Botswana,Free State,BWA,2019,0.6,0.51,near normal
Botswana,Free State,BWA,2019,0.92,-2.14,severe
Botswana,Free State,BWA,2019,1.69,-3.03,Extreme
Botswana,Free State,BWA,2019,3.18,-3.36,Extreme
Botswana,Free State,BWA,2019,3.95,-2.82,Extreme
Botswana,Free State,BWA,2019,42.17,-2.61,Extreme
Botswana,Free State,BWA,2019,114.84,-1.79,Extreme
Botswana,Free State,BWA,2020,89.46,-0.96,Extreme
Botswana,Free State,BWA,2020,118.82,0.01,Extreme
Botswana,Free State,BWA,2020,81.08,0,Extreme
Botswana,Free State,BWA,2020,89.68,0.59,near normal
Botswana,Free State,BWA,2020,0.25,0.28,near normal
Botswana,Free State,BWA,2020,6.07,0.09,near normal
Botswana,Free State,BWA,2020,1.45,-1.36,moderate
Botswana,Free State,BWA,2020,2.56,-0.83,near normal
South Africa,Gauteng,ZAF,2019,0.05,0.7,near normal
South Africa,Gauteng,ZAF,2019,0.04,-2.61,severe
South Africa,Gauteng,ZAF,2019,0.28,-4.48,extreme
South Africa,Gauteng,ZAF,2019,6.97,-4.4,extreme
South Africa,Gauteng,ZAF,2019,13.77,-2.72,severe
South Africa,Gauteng,ZAF,2019,138.94,-2.02,severe
South Africa,Gauteng,ZAF,2019,180.67,-0.98,near normal
South Africa,Gauteng,ZAF,2020,117.37,0.11,near normal
South Africa,Gauteng,ZAF,2020,75.72,0.33,near normal
South Africa,Gauteng,ZAF,2020,67.43,-0.36,near normal
South Africa,Gauteng,ZAF,2020,94.01,0.23,near normal
South Africa,Gauteng,ZAF,2020,0.04,0.36,near normal
South Africa,Gauteng,ZAF,2020,8.55,0.62,near normal
South Africa,Gauteng,ZAF,2020,0.25,-0.98,near normal
South Africa,Gauteng,ZAF,2020,1.63,-0.51,near normal
