country,prov_name,iso_alpha3,data_year,total_precipitation,spei_index,drought_status,year,spei_Eastern Cape,spei_Free State,spei_Gauteng,spei_KwaZulu-Natal,spei_Limpopo,spei_Mpumalanga,spei_North West,spei_Northern Cape,spei_Western Cape,Total precipitation_Eastern Cape,tot_preci_FreeState,tot_preci_GP,Total precipitation_KwaZulu-Natal,Total precipitation_Limpopo,Total precipitation_Mpumalanga,Total precipitation_North West,Total precipitation_Northern Cape,Total precipitation_Western Cape,gwsa_Eastern Cape,gwsa_Free State,gwsa_Gauteng,gwsa_KwaZulu-Natal,gwsa_Limpopo,gwsa_Mpumalanga,gwsa_North West,gwsa_Northern Cape,gwsa_Western Cape,spei_status_Eastern Cape,spei_status_Free State,spei_status_GP,spei_status_KwaZulu-Natal,spei_status_Limpopo,spei_status_Mpumalanga,spei_status_North West,spei_status_Northern Cape,spei_status_Western Cape
South Africa,Eastern Cape,ZAR,01/06/19,6.051971925,-0.14876176,moderately wet,01/04/02,-1.12,-1.24,-1.14,-1.38,-1.45,-1.12,-1.19,-0.85,-1.16,54.61,34.5,28.13,64.3,20.18,38.93,21.79,19.11,31.27,-1.88,-1.66,1.76,0.49,5.36,2.73,-0.72,-0.47,0.9,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Moderate drought
South Africa,Eastern Cape,ZAR,01/07/19,7.693376155,-1.2182086,moderately wet,01/05/02,-0.37,-0.61,-1.09,-1.1,-1.42,-1.27,-0.77,-0.22,-0.13,37.61,51.62,27.94,19.89,5.82,9.05,34.39,27.47,51.9,-0.66,-1.7,1.93,1.3,4.57,2.86,-0.58,-1.03,0.83,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/08/19,6.70594821,-2.1339202,moderately wet,01/06/02,0.16,0.21,-0.09,-0.22,-0.52,-1.01,-0.12,0.14,0.21,22.29,17.58,27.37,31.16,17.4,15.46,15.33,15.05,29.62,1.18,-4.63,-2.33,2.29,1.15,0.87,-4.29,-1.55,0.25,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/09/19,25.06583205,-1.8710113,moderately wet,01/07/02,1.25,1.14,0.94,1.43,-0.36,-0.33,1.03,1.11,0.97,38.91,5.76,0.52,104.9,9.14,18.22,0.76,5.95,49.48,0.41,-3.44,-1.5,0.79,0.61,0.94,-3.33,-0.38,-0.39,Moderately wet,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Moderately wet,Moderately wet,Near normal
South Africa,Eastern Cape,ZAR,01/10/19,21.48753867,-2.379693,moderately wet,01/08/02,1.84,1.74,1.02,1.72,-0.67,-0.12,1.3,1.11,0.74,89.6,98.94,33.14,63.74,8.96,23.47,63.8,28.69,44.16,-3.63,1.71,8.66,0.34,9.7,10.01,1.45,-0.77,-2.96,Very wet,Very wet,Moderately wet,Very wet,Near normal,Near normal,Moderately wet,Moderately wet,Near normal
South Africa,Eastern Cape,ZAR,01/11/19,37.17094288,-2.5260303,moderately wet,01/09/02,1.92,1.37,0.27,1.34,-0.73,-0.1,0.93,0.58,0.81,73.2,32.33,14.39,47.71,19.51,28.85,8.63,6.73,34.94,-7.7,-5.17,0.95,-2.88,2.73,3.52,-2.22,-0.47,-1.36,Very wet,Moderately wet,Near normal,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/12/19,69.84951298,-2.099648,moderately wet,01/10/02,1.1,0.64,-0.15,-0.32,-0.43,-0.19,0.41,-0.16,0.07,23.97,35.7,50.78,67.39,33.46,58.25,41.52,7.8,14.69,-6.4,-2.85,2.17,-1.19,3.1,4.15,-0.67,0.95,0.26,Moderately wet,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/01/20,116.8120753,-0.91424626,moderately wet,01/11/02,-0.48,-1.13,-1.62,-1.5,-1.26,-1.36,-0.75,-0.62,-0.33,44.28,29.04,31.08,64.16,19.62,47.87,21.67,18.21,15.12,-3.67,-1.46,2.71,-0.16,4.75,4.22,0.05,0.35,0.57,Near normal,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/02/20,138.5111136,0.20412557,moderately wet,01/12/02,-0.91,-0.39,-1.27,-1.39,-1.48,-1.31,-0.32,0.03,0.05,100.01,155.56,159.59,126.48,54.76,136.89,96.39,54.27,47.42,-0.5,-1.87,2.31,0.77,5.45,4.86,-1.59,-1.95,0.21,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/03/20,94.33106532,0.57489157,moderately wet,01/01/03,-0.63,-0.38,-1.29,-1.39,-1.58,-1.69,-0.48,-0.25,0.18,60.57,89.07,119.15,122.57,65.24,120.17,66.28,11.53,16.35,-0.72,-4.92,-1.99,-3.35,2.7,0.34,-4.33,-1.75,-0.08,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Severe drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/04/20,75.71577825,0.45259967,moderately wet,01/02/03,-0.65,-0.06,-0.42,-1.07,-1.26,-1.19,-0.1,-0.53,-0.3,79.14,92.36,106.8,125.11,66.99,104.82,85.59,38.55,15.59,0.42,-4.02,-0.62,0.43,5.49,3.65,-4.2,-2.29,0.51,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Moderate drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/05/20,5.172528237,0.028899845,moderately wet,01/03/03,-0.5,-0.51,-0.83,-1.48,-1.32,-1.7,-0.64,-0.88,0.58,97.37,84.07,32.41,66.52,41.4,45.13,36.25,23.52,82.09,0.24,-2.69,1.18,3.24,7.28,6.61,-1.33,-0.83,-0.14,Near normal,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Near normal,Near normal,Near normal
South Africa,Eastern Cape,ZAR,01/06/20,2.5752556,-0.39745218,near normal,01/04/03,-0.43,-0.7,-1.36,-1.31,-1.55,-1.8,-1.02,-1.05,0.15,47.55,23.22,10.45,42.22,5.97,16.69,14.98,18.44,21.14,-1.93,-2.73,2.99,5.08,7.34,7.81,-0.19,-1.05,-2.11,Near normal,Near normal,Moderate drought,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal
South Africa,Eastern Cape,ZAR,01/07/20,3.954585036,-1.3551016,near normal,01/05/03,0.11,-0.78,-1.65,-1.09,-1.68,-1.93,-1.5,-1.13,0.29,46.85,15.93,1.74,40.88,4.35,12.94,4.18,12.18,42.34,-1.72,-1.14,4.25,5.12,6.93,7.05,1.53,-0.27,-2.48,Near normal,Near normal,Severe drought,Moderate drought,Severe drought,Severe drought,Moderate drought,Moderate drought,Near normal
South Africa,Eastern Cape,ZAR,01/08/20,12.80950015,-0.80810034,near normal,01/06/03,-0.21,-1.28,-1.72,-0.44,-1.44,-1.15,-1.56,-1.44,-0.8,10.9,4.63,13.75,34.33,23.4,16.71,5.85,0.18,6.74,1.06,0.43,4.6,7.21,4.89,7,2.93,2.29,0.89,Near normal,Moderate drought,Severe drought,Near normal,Moderate drought,Moderate drought,Severe drought,Moderate drought,Near normal
Botswana,Free State,BOT,01/06/19,0.600599328,0.50992703,near normal,01/07/03,-0.1,-0.78,-0.93,-0.03,-0.27,-0.31,-0.88,-1.17,-0.85,5.93,0.44,1.89,9.91,1.66,3.42,0.29,0.77,13.21,2.56,0.98,5.42,6.6,6.34,6.64,2.94,2.1,1.83,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Moderate drought,Near normal
Botswana,Free State,BOT,01/07/19,0.924510113,-2.1442337,near normal,01/08/03,-0.5,-0.3,0.12,0.04,0.14,0.09,-0.26,-0.12,-0.57,29.99,13.58,5.26,24.96,0.63,6.5,2.96,16.74,57.84,2.79,-0.41,2.01,7.46,5.47,6.1,1.46,2.04,1.75,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
Botswana,Free State,BOT,01/08/19,1.685584453,-3.0327706,severe,01/09/03,-0.34,-0.14,-0.5,-0.29,-0.59,-0.52,-0.39,0.52,0.02,35.73,18.38,7.53,49.8,10.42,29.54,5.37,14.18,22.69,1.48,0.27,3.44,6.24,4.6,5.64,0.95,1.02,1.3,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal,Near normal
